,movies_title,movies_genre,movies_year,production_country,movies_imdb_rating,movies_runtime,movie_link
16, Inside Out (2015),"Comedy, Animation, Kids & Family, Action & Adventure, Drama, Fantasy",2015,United States,8.1  (815k),1h 35min,https://www.justwatch.com/in/movie/inside-out
17, Civil War (2024),"Mystery & Thriller, Action & Adventure, War & Military, Drama",2024,"United States, United Kingdom",7.1  (139k),1h 49min,https://www.justwatch.com/in/movie/civil-war-2024-0
18, Deadpool (2016),"Action & Adventure, Comedy",2016,United States,8.0  (1m),1h 48min,https://www.justwatch.com/in/movie/deadpool
19, Godzilla x Kong: The New Empire (2024),"Mystery & Thriller, Action & Adventure, Fantasy, Science-Fiction",2024,"Australia, United States",8.0  (1m),1h 55min,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
20, Kung Fu Panda 4 (2024),"Action & Adventure, Comedy, Kids & Family, Fantasy, Animation",2024,United States,6.3  (49k),1h 34min,https://www.justwatch.com/in/movie/kung-fu-panda-4
21, Manjummel Boys (2024),"Drama, Mystery & Thriller, Action & Adventure",2024,India,8.3  (19k),2h 15min,https://www.justwatch.com/in/movie/manjummel-boys
22, 365 Days (2020),"Drama, Romance, Made in Europe",2020,Poland,3.3  (99k),1h 54min,https://www.justwatch.com/in/movie/365-days
23, Bad Boys: Ride or Die (2024),"Action & Adventure, Crime, Mystery & Thriller, Comedy",2024,United States,3.3  (99k),1h 55min,https://www.justwatch.com/in/movie/bad-boys-4
24, Dune: Part Two (2024),"Science-Fiction, Action & Adventure, Drama",2024,United States,3.3  (99k),2h 47min,https://www.justwatch.com/in/movie/dune-part-two
25, Je Jatt Vigarh Gya (2024),Drama,2024,India,3.3  (99k),2h 12min,https://www.justwatch.com/in/movie/je-jatt-vigad-gya
26, Maharaj (2024),"Drama, History, Mystery & Thriller, Crime",2024,India,6.5  (10k),2h 12min,https://www.justwatch.com/in/movie/maharaj
27, Laapataa Ladies (2024),"Comedy, Drama",2024,India,8.5  (37k),2h 2min,https://www.justwatch.com/in/movie/laapataa-ladies
28, Hit Man (2024),"Comedy, Crime, Romance",2024,United States,6.9  (73k),1h 53min,https://www.justwatch.com/in/movie/hit-man
